t,tau,detuning,population,dP_dtau,heat_power,mutual_information
9.762000000000000455e+00,7.809600000000000541e+00,4.802528234524939266e-01,2.235970184918099624e-01,-6.688465300077699009e-03,-2.781048764121081887e-03,1.062846066504466336e+00
9.763999999999999346e+00,7.811199999999999477e+00,4.802683032847345213e-01,2.235863176327905488e-01,-6.687611042134195861e-03,-2.780610747120120310e-03,1.062819424423707915e+00
9.766000000000000014e+00,7.812800000000000189e+00,4.802837712263879344e-01,2.235756181400131715e-01,-6.686757496330224086e-03,-2.780173110973139464e-03,1.062792784425498960e+00
9.768000000000000682e+00,7.814400000000000901e+00,4.802992272862051104e-01,2.235649200123389635e-01,-6.685904661933378228e-03,-2.779735855278032616e-03,1.062766146507464038e+00
9.769999999999999574e+00,7.815999999999999837e+00,4.803146714729312206e-01,2.235542232486301406e-01,-6.685052538213063882e-03,-2.779298979633577308e-03,1.062739510667229936e+00
9.772000000000000242e+00,7.817600000000000549e+00,4.803301037953057739e-01,2.235435278477504450e-01,-6.684201124437907753e-03,-2.778862483638358093e-03,1.062712876902425885e+00
9.774000000000000909e+00,7.819200000000001261e+00,4.803455242620622290e-01,2.235328338085644517e-01,-6.683350419879332052e-03,-2.778426366892256666e-03,1.062686245210683778e+00
9.775999999999999801e+00,7.820800000000000196e+00,4.803609328819283264e-01,2.235221411299380401e-01,-6.682500423809391299e-03,-2.777990628995545032e-03,1.062659615589637063e+00
9.778000000000000469e+00,7.822400000000000908e+00,4.803763296636258673e-01,2.235114498107380054e-01,-6.681651135500484354e-03,-2.777555269548771019e-03,1.062632988036921633e+00
9.779999999999999361e+00,7.823999999999999844e+00,4.803917146158709350e-01,2.235007598498327253e-01,-6.680802554227154195e-03,-2.777120288153505506e-03,1.062606362550176708e+00
9.782000000000000028e+00,7.825600000000000556e+00,4.804070877473737844e-01,2.234900712460915206e-01,-6.679954679263801556e-03,-2.776685684411388765e-03,1.062579739127042622e+00
9.784000000000000696e+00,7.827200000000001268e+00,4.804224490668387859e-01,2.234793839983847674e-01,-6.679107509887071033e-03,-2.776251457925127918e-03,1.062553117765162369e+00
9.785999999999999588e+00,7.828800000000000203e+00,4.804377985829644815e-01,2.234686981055841737e-01,-6.678261045374189221e-03,-2.775817608297797851e-03,1.062526498462181612e+00
9.788000000000000256e+00,7.830400000000000915e+00,4.804531363044438064e-01,2.234580135665624745e-01,-6.677415285002885788e-03,-2.775384135132814758e-03,1.062499881215747344e+00
9.790000000000000924e+00,7.832000000000000739e+00,4.804684622399635896e-01,2.234473303801937094e-01,-6.676570228052521906e-03,-2.774951038034403645e-03,1.062473266023509888e+00
9.791999999999999815e+00,7.833600000000000563e+00,4.804837763982049426e-01,2.234366485453528894e-01,-6.675725873804198678e-03,-2.774518316607640835e-03,1.062446652883121567e+00
9.794000000000000483e+00,7.835200000000000387e+00,4.804990787878433700e-01,2.234259680609163023e-01,-6.674882221537855806e-03,-2.774085970457250503e-03,1.062420041792236480e+00
