x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.117499999999999893e+01,4.981389015143483819e-03,1.433233162148266935e-07,2.866466324296533765e-06,2.086300752140950364e-05
-1.112500000000000000e+01,5.003707109840678686e-03,1.225063231440580224e-07,2.450126462881160448e-06,2.105054395293023834e-05
-1.107499999999999929e+01,5.026225768502154759e-03,1.159350908890577667e-07,2.318701817781155017e-06,2.124061851727212513e-05
-1.102500000000000036e+01,5.048947702541577674e-03,1.258460662976552940e-07,2.516921325953105775e-06,2.143327718863059241e-05
-1.097499999999999964e+01,5.071875672383286196e-03,1.519249555994357152e-07,3.038499111988714092e-06,2.162856698606482195e-05
-1.092499999999999893e+01,5.095012488579002234e-03,1.912598697745502283e-07,3.825197395491004036e-06,2.182653600210152970e-05
-1.087500000000000000e+01,5.118361012939832456e-03,2.387095787333545638e-07,4.774191574667091064e-06,2.202723343225592754e-05
-1.082499999999999929e+01,5.141924159724134934e-03,2.876438062253439462e-07,5.752876124506878713e-06,2.223070960550339807e-05
-1.077500000000000036e+01,5.165704896828297518e-03,3.309512577341224918e-07,6.619025154682449412e-06,2.243701601573695661e-05
-1.072499999999999964e+01,5.189706247033585955e-03,3.621641573518142877e-07,7.243283147036285753e-06,2.264620535424731907e-05
-1.067499999999999893e+01,5.213931289271242150e-03,3.765235263440548487e-07,7.530470526881096550e-06,2.285833154326341108e-05
-1.062500000000000000e+01,5.238383159934640286e-03,3.718120556425070835e-07,7.436241112850141669e-06,2.307344977059333212e-05
-1.057499999999999929e+01,5.263065054222079014e-03,3.488118472137513991e-07,6.976236944275027770e-06,2.329161652540700147e-05
-1.052500000000000036e+01,5.287980227519347397e-03,3.112987529832872635e-07,6.225975059665744635e-06,2.351288963520363731e-05
-1.047499999999999964e+01,5.313131996820368019e-03,2.655557690959257483e-07,5.311115381918514542e-06,2.373732830400934776e-05
-1.042499999999999893e+01,5.338523742190359050e-03,2.194642889252661525e-07,4.389285778505322415e-06,2.396499315185139721e-05
-1.037500000000000000e+01,5.364158908269497754e-03,1.813020031163432332e-07,3.626040062326864452e-06,2.419594625555843828e-05
-1.032499999999999929e+01,5.390041005812956816e-03,1.584284205527680194e-07,3.168568411055360283e-06,2.443025119093768398e-05
-1.027499999999999858e+01,5.416173613297903602e-03,1.560643156599535893e-07,3.121286313199071680e-06,2.466797307638227119e-05
-1.022499999999999964e+01,5.442560378537412286e-03,1.763647525680172289e-07,3.527295051360344367e-06,2.490917861796456399e-05
-1.017499999999999893e+01,5.469205020388834271e-03,2.179464613867497542e-07,4.358929227734995189e-06,2.515393615607353699e-05
-1.012500000000000000e+01,5.496111330467808205e-03,2.759641456359955804e-07,5.519282912719911608e-06,2.540231571365663901e-05
-1.007499999999999929e+01,5.523283174952339433e-03,3.427462430776226275e-07,6.854924861552452338e-06,2.565438904612989826e-05
-1.002499999999999858e+01,5.550724496404721951e-03,4.089114438918703387e-07,8.178228877837406775e-06,2.591022969302200565e-05
-9.974999999999999645e+00,5.578439315668454190e-03,4.648069367686651881e-07,9.296138735373302915e-06,2.616991303142188370e-05
-9.924999999999998934e+00,5.606431733825887470e-03,5.020511150417837585e-07,1.004102230083567517e-05,2.643351633130182696e-05
-9.875000000000000000e+00,5.634705934187079525e-03,5.149375647504158512e-07,1.029875129500831575e-05,2.670111881279161337e-05
-9.824999999999999289e+00,5.663266184380740843e-03,5.014690757128840342e-07,1.002938151425768068e-05,2.697280170548294691e-05
-9.774999999999998579e+00,5.692116838457956379e-03,4.638398594649715575e-07,9.276797189299430092e-06,2.724864830984629867e-05
-9.724999999999999645e+00,5.721262339115793134e-03,4.082648158867761308e-07,8.165296317735521556e-06,2.752874406084694032e-05
-9.674999999999998934e+00,5.750707219926333089e-03,3.441550039060508261e-07,6.883100078121016310e-06,2.781317659385030086e-05
-9.625000000000000000e+00,5.780456107703707720e-03,2.827432497833821098e-07,5.654864995667641562e-06,2.810203581291117572e-05
-9.574999999999999289e+00,5.810513724873804867e-03,2.353565122603145174e-07,4.707130245206290347e-06,2.839541396154593496e-05
-9.524999999999998579e+00,5.840884891981259000e-03,2.115968755567770788e-07,4.231937511135541682e-06,2.869340569609108560e-05
-9.474999999999999645e+00,5.871574530216190461e-03,2.177192295301706826e-07,4.354384590603413122e-06,2.899610816175687258e-05
-9.424999999999998934e+00,5.902587664079689614e-03,2.554749198202872470e-07,5.109498396405744516e-06,2.930362107148947153e-05
-9.375000000000000000e+00,5.933929424076644574e-03,3.216279262490897807e-07,6.432558524981794979e-06,2.961604678776071718e-05
-9.324999999999999289e+00,5.965605049532455954e-03,4.082515322263579794e-07,8.165030644527158953e-06,2.993349040741028776e-05
-9.274999999999998579e+00,5.997619891487736971e-03,5.037931429810308620e-07,1.007586285962061639e-05,3.025605984967087660e-05
-9.224999999999999645e+00,6.029979415677967289e-03,5.947711554531629236e-07,1.189542310906325847e-05,3.058386594751360074e-05
-9.174999999999998934e+00,6.062689205618944192e-03,6.678602074915196231e-07,1.335720414983039161e-05,3.091702254245728981e-05
-9.125000000000000000e+00,6.095754965790536190e-03,7.120476721274973572e-07,1.424095344254994714e-05,3.125564658299233214e-05
-9.074999999999999289e+00,6.129182524920066995e-03,7.205182166845104423e-07,1.441036433369020842e-05,3.159985822677750035e-05
