a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.626550702753624122e-01,1.622809248252063061e-02,1.414892725111825511e+00,7.480166826370897304e-02,9.464053274380401781e-01,-3.929473852956278518e-02,4.391105862256002718e-02
1.626550702753624122e-01,1.724054174017179350e-02,1.490354232176041016e+00,7.878837725070207687e-02,9.431603399373469365e-01,-4.152696496830239614e-02,4.616881743821294598e-02
1.626550702753624122e-01,1.831615636987284426e-02,1.568994722844402778e+00,8.294266026909682954e-02,9.397222945365505398e-01,-4.387266236506239675e-02,4.851170891937066354e-02
1.626550702753624122e-01,1.945887717576388898e-02,1.650791648428578284e+00,8.726329076063997492e-02,9.360798254961343323e-01,-4.633641284868798838e-02,5.093870890849995503e-02
1.626550702753624122e-01,2.067289082355074428e-02,1.735784556130507417e+00,9.175226671737961304e-02,9.322208711154150729e-01,-4.892237596467708532e-02,5.345112589460989522e-02
1.626550702753624122e-01,2.196264517948329914e-02,1.823915666772568445e+00,9.640648400321565059e-02,9.281326244446712614e-01,-5.163459927365676022e-02,5.604499340932030116e-02
1.626550702753624122e-01,2.333286560631255002e-02,1.915160036965068757e+00,1.012245303221390447e-01,9.238014802194112196e-01,-5.447725389032135462e-02,5.871798834876319068e-02
1.626550702753624122e-01,2.478857227593068979e-02,2.009441143311012645e+00,1.062022748620700674e-01,9.192129779993207794e-01,-5.745440713215874823e-02,6.146699686504272092e-02
1.626550702753624122e-01,2.633509856212426156e-02,2.106636086935470331e+00,1.113331377945137451e-01,9.143517416272427534e-01,-6.056998434319039309e-02,6.428802045213095895e-02
1.626550702753624122e-01,2.797811058082649155e-02,2.206626622592274156e+00,1.166107510775502287e-01,9.092014153051742875e-01,-6.382772629145333498e-02,6.717637146444736806e-02
1.626550702753624122e-01,2.972362794946058900e-02,2.309229904536515665e+00,1.220253402578211632e-01,9.037445968252713069e-01,-6.723114186846212981e-02,7.012530068784390835e-02
1.626550702753624122e-01,3.157804584143061172e-02,2.414207752689504272e+00,1.275642056594686047e-01,8.979627688070396241e-01,-7.078363817054196538e-02,7.312777486777051472e-02
1.626550702753624122e-01,3.354815841656336173e-02,2.521290020296962808e+00,1.332129390379103717e-01,8.918362291898255245e-01,-7.448881782627612969e-02,7.617553869988738513e-02
1.626550702753624122e-01,3.564118371334409202e-02,2.630153261357429439e+00,1.389543072800282497e-01,8.853440227267285190e-01,-7.834864245684482198e-02,7.925833439490982679e-02
1.626550702753624122e-01,3.786479009414649155e-02,2.740415741736779598e+00,1.447679894673141454e-01,8.784638758356678734e-01,-8.236583871044350635e-02,8.236455129739082837e-02
1.626550702753624122e-01,4.022712434034501905e-02,2.851632440573433236e+00,1.506303137738093378e-01,8.711721378978624086e-01,-8.654284387713929994e-02,8.548088773013809427e-02
1.626550702753624122e-01,4.273684150024484318e-02,2.963290157283454906e+00,1.565140003564097215e-01,8.634437329640242131e-01,-9.088086952981717925e-02,8.859752232833224828e-02
