t,tau,detuning,population,dP_dtau,heat_power,mutual_information
6.233999999999999986e+00,4.987200000000000522e+00,4.236919365163696050e-01,9.268032370424743316e-02,-8.090114173994096547e-02,-3.729918426380806479e-02,6.173912819690008380e-01
6.235999999999999766e+00,4.988800000000000345e+00,4.237483055212338257e-01,9.255083800741105426e-02,-8.095592618147616493e-02,-3.732079171213883995e-02,6.168002810493690147e-01
6.238000000000000433e+00,4.990400000000001057e+00,4.238046363210190570e-01,9.242126504052629310e-02,-8.101022931458291831e-02,-3.734217483330699860e-02,6.162084821323480233e-01
6.240000000000000213e+00,4.992000000000000881e+00,4.238609289365458666e-01,9.229160557355117755e-02,-8.106405130890219357e-02,-3.736333377420087559e-02,6.156158874264149317e-01
6.241999999999999993e+00,4.993600000000000705e+00,4.239171833886309915e-01,9.216186037617002391e-02,-8.111739233704423624e-02,-3.738426868295513517e-02,6.150224991443254963e-01
6.243999999999999773e+00,4.995200000000000529e+00,4.239733996980873942e-01,9.203203021778859350e-02,-8.117025257458221343e-02,-3.740497970894732238e-02,6.144283195031149392e-01
6.246000000000000441e+00,4.996800000000000352e+00,4.240295778857242626e-01,9.190211586752922157e-02,-8.122263220004780071e-02,-3.742546700279528182e-02,6.138333507240979481e-01
6.248000000000000220e+00,4.998400000000000176e+00,4.240857179723467874e-01,9.177211809422651523e-02,-8.127453139492459011e-02,-3.744573071635357020e-02,6.132375950328712300e-01
6.250000000000000000e+00,5.000000000000000000e+00,4.241418199787564403e-01,9.164203766642206594e-02,-8.132595034364341335e-02,-3.746577100271082650e-02,6.126410546593129558e-01
6.251999999999999780e+00,5.001599999999999824e+00,4.241978839257508072e-01,9.151187535236023074e-02,-8.137688923357655479e-02,-3.748558801618653846e-02,6.120437318375837599e-01
6.254000000000000448e+00,5.003200000000000536e+00,4.242539098341236992e-01,9.138163191998298351e-02,-8.142734825503228357e-02,-3.750518191232802417e-02,6.114456288061269618e-01
6.256000000000000227e+00,5.004800000000000360e+00,4.243098977246648751e-01,9.125130813692572396e-02,-8.147732760124920537e-02,-3.752455284790731649e-02,6.108467478076713419e-01
6.258000000000000007e+00,5.006400000000000183e+00,4.243658476181603190e-01,9.112090477051219828e-02,-8.152682746839079453e-02,-3.754370098091809604e-02,6.102470910892291434e-01
6.259999999999999787e+00,5.008000000000000007e+00,4.244217595353920736e-01,9.099042258774993341e-02,-8.157584805554007890e-02,-3.756262647057276999e-02,6.096466609020978478e-01
6.262000000000000455e+00,5.009600000000000719e+00,4.244776334971383513e-01,9.085986235532569899e-02,-8.162438956469372786e-02,-3.758132947729922457e-02,6.090454595018612860e-01
