t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
4.187999999999999723e+00,3.350400000000000045e+00,9.171732747492335538e-03,-1.382934929585836678e-02,1.507822968308739853e+00,-2.186696710661124865e-02,1.043198220857237957e-01,-1.295095051726716240e-01,1.241225727370584911e-02,1.812563629698122680e+00
4.190000000000000391e+00,3.352000000000000313e+00,9.144133761870582716e-03,-1.376967171683633751e-02,1.505847582222979764e+00,-2.176985098431824875e-02,1.040612783759312931e-01,-1.290343964197768201e-01,1.238457087270684875e-02,1.812634952855288084e+00
4.192000000000000171e+00,3.353600000000000136e+00,9.116653890825462611e-03,-1.371023461481737579e-02,1.503866964678198359e+00,-2.167313887910330902e-02,1.038036834664502195e-01,-1.285607047820459536e-01,1.235691775702035117e-02,1.812706048899109801e+00
4.193999999999999950e+00,3.355199999999999960e+00,9.089292654107858707e-03,-1.365103728508559530e-02,1.501881147914857717e+00,-2.157682953280629090e-02,1.035470345240953327e-01,-1.280884292123856683e-01,1.232929797969789174e-02,1.812776918583311803e+00
4.195999999999999730e+00,3.356799999999999784e+00,9.062049572877081682e-03,-1.359207902393736248e-02,1.499890164430214723e+00,-2.148092168943060640e-02,1.032913287177887329e-01,-1.276175686507682039e-01,1.230171159337304330e-02,1.812847562659521961e+00
4.198000000000000398e+00,3.358400000000000496e+00,9.034924169698827640e-03,-1.353335912868379627e-02,1.497894046977366056e+00,-2.138541409514613592e-02,1.030365632185856195e-01,-1.271481220242728361e-01,1.227415865026228355e-02,1.812917981877275153e+00
4.200000000000000178e+00,3.360000000000000320e+00,9.007915968543162358e-03,-1.347487689765335811e-02,1.495892828564277854e+00,-2.129030549829230567e-02,1.027827351996991184e-01,-1.266800882471276479e-01,1.224663920216606874e-02,1.812988176984017485e+00
4.201999999999999957e+00,3.361600000000000144e+00,8.981024494782469114e-03,-1.341663163019425273e-02,1.493886542452773858e+00,-2.119559464938088056e-02,1.025298418365278158e-01,-1.262134662207503588e-01,1.221915330046955545e-02,1.813058148725108509e+00
4.203999999999999737e+00,3.363199999999999967e+00,8.954249275189412119e-03,-1.335862262667690363e-02,1.491875222157507341e+00,-2.110128030109883687e-02,1.022778803066793918e-01,-1.257482548337900963e-01,1.219170099614372976e-02,1.813127897843825442e+00
4.206000000000000405e+00,3.364800000000000679e+00,8.927589837934891276e-03,-1.330084918849643895e-02,1.489858901444912176e+00,-2.100736120831127318e-02,1.020268477899972104e-01,-1.252844529621692238e-01,1.216428233974628167e-02,1.813197425081366498e+00
4.208000000000000185e+00,3.366400000000000503e+00,8.901045712585990005e-03,-1.324331061807519291e-02,1.487837614332132130e+00,-2.091383612806434547e-02,1.017767414685857574e-01,-1.248220594691259733e-01,1.213689738142250708e-02,1.813266731176853774e+00
4.209999999999999964e+00,3.368000000000000327e+00,8.874616430103919595e-03,-1.318600621886493324e-02,1.485811395085897546e+00,-2.082070381958773045e-02,1.015275585268351766e-01,-1.243610732052544826e-01,1.210954617090634171e-02,1.813335816867337247e+00
4.211999999999999744e+00,3.369600000000000151e+00,8.848301522841949679e-03,-1.312893529534938687e-02,1.483780278221413784e+00,-2.072796304429761274e-02,1.012792961514475398e-01,-1.239014930085482469e-01,1.208222875752121804e-02,1.813404682887798325e+00
4.214000000000000412e+00,3.371200000000000419e+00,8.822100524543352584e-03,-1.307209715304658362e-02,1.481744298501202817e+00,-2.063561256579933556e-02,1.010319515314608840e-01,-1.234433177044417657e-01,1.205494519018102118e-02,1.813473329971152737e+00
4.216000000000000192e+00,3.372800000000000242e+00,8.796012970339330342e-03,-1.301549109851119802e-02,1.479703490933925947e+00,-2.054365114989007562e-02,1.007855218582757173e-01,-1.229865461058527731e-01,1.202769551739113138e-02,1.813541758848253638e+00
4.217999999999999972e+00,3.374400000000000066e+00,8.770038396746938220e-03,-1.295911643933687560e-02,1.477657890773179217e+00,-2.045207756456145914e-02,1.005400043256783893e-01,-1.225311770132244543e-01,1.200047978724925676e-02,1.813609970247896275e+00
4.219999999999999751e+00,3.375999999999999890e+00,8.744176341666989177e-03,-1.290297248415850188e-02,1.475607533516264835e+00,-2.036089058000211532e-02,1.002953961298673619e-01,-1.220772092145674670e-01,1.197329804744645329e-02,1.813677964896820649e+00
4.222000000000000419e+00,3.377600000000000602e+00,8.718426344382001689e-03,-1.284705854265458247e-02,1.473552454902942177e+00,-2.027008896860039988e-02,1.000516944694772037e-01,-1.216246414855032126e-01,1.194615034526801296e-02,1.813745743519715292e+00
4.224000000000000199e+00,3.379200000000000426e+00,8.692787945554078174e-03,-1.279137392554943568e-02,1.471492690914147694e+00,-2.017967150494678896e-02,9.980889654560352875e-02,-1.211734725893057335e-01,1.191903672759450812e-02,1.813813306839219486e+00
4.225999999999999979e+00,3.380800000000000249e+00,8.667260687222826804e-03,-1.273591794461548417e-02,1.469428277770694402e+00,-2.008963696583646388e-02,9.956699956182799016e-02,-1.207237012769448309e-01,1.189195724090264319e-02,1.813880655575928813e+00
4.227999999999999758e+00,3.382400000000000073e+00,8.641844112803269418e-03,-1.268068991267544930e-02,1.467359251931940500e+00,-1.999998413027171892e-02,9.932600072424242754e-02,-1.202753262871283507e-01,1.186491193126627819e-02,1.813947790448397157e+00
4.230000000000000426e+00,3.384000000000000341e+00,8.616537767083719962e-03,-1.262568914360456991e-02,1.465285650094440895e+00,-1.991071177946440729e-02,9.908589724147350009e-02,-1.198283463463453019e-01,1.183790084435735156e-02,1.814014712173140254e+00
4.232000000000000206e+00,3.385600000000000165e+00,8.591341196223694146e-03,-1.257091495233286435e-02,1.463207509190576960e+00,-1.982181869683845993e-02,9.884668632470700045e-02,-1.193827601689094325e-01,1.181092402544688807e-02,1.814081421464640131e+00
4.233999999999999986e+00,3.387199999999999989e+00,8.566253947751782671e-03,-1.251636665484717574e-02,1.461124866387144783e+00,-1.973330366803205740e-02,9.860836518771205761e-02,-1.189385664570011547e-01,1.178398151940583324e-02,1.814147919035346890e+00
4.235999999999999766e+00,3.388799999999999812e+00,8.541275570563552216e-03,-1.246204356819339762e-02,1.459037759083934294e+00,-1.964516548090007239e-02,9.837093104686589484e-02,-1.184957639007114261e-01,1.175707337070616872e-02,1.814214205595683582e+00
4.238000000000000433e+00,3.390400000000000524e+00,8.516405614919411726e-03,-1.240794501047862500e-02,1.456946224912285093e+00,-1.955740292551640808e-02,9.813438112117768564e-02,-1.180543511780851595e-01,1.173019962342173803e-02,1.814280281854049770e+00
4.240000000000000213e+00,3.392000000000000348e+00,8.491643632442496051e-03,-1.235407030087322736e-02,1.454850301733606965e+00,-1.947001479417620820e-02,9.789871263231203491e-02,-1.176143269551643278e-01,1.170336032122931517e-02,1.814346148516824186e+00
4.241999999999999993e+00,3.393600000000000172e+00,8.466989176116527030e-03,-1.230041875961294245e-02,1.452750027637883079e+00,-1.938299988139807750e-02,9.766392280461380637e-02,-1.171756898860315116e-01,1.167655550740946332e-02,1.814411806288368068e+00
4.243999999999999773e+00,3.395199999999999996e+00,8.442441800283698866e-03,-1.224698970800095453e-02,1.450645440942146314e+00,-1.929635698392630563e-02,9.743000886513147885e-02,-1.167384386128533375e-01,1.164978522484759298e-02,1.814477255871029815e+00
4.246000000000000441e+00,3.396800000000000708e+00,8.418001060642521863e-03,-1.219378246840996903e-02,1.448536580188937606e+00,-1.921008490073306332e-02,9.719696804364086340e-02,-1.163025717659246644e-01,1.162304951603482413e-02,1.814542497965147216e+00
4.248000000000000220e+00,3.398400000000000531e+00,8.393666514245688715e-03,-1.214079636428423703e-02,1.446423484144734317e+00,-1.912418243302052914e-02,9.696479757266958377e-02,-1.158680879637120492e-01,1.159634842306906874e-02,1.814607533269052109e+00
4.250000000000000000e+00,3.400000000000000355e+00,8.369437719497939063e-03,-1.208803072014156231e-02,1.444306191798353289e+00,-1.903864838422296077e-02,9.673349468751973879e-02,-1.154349858128977946e-01,1.156968198765589810e-02,1.814672362479072376e+00
4.251999999999999780e+00,3.401600000000000179e+00,8.345314236153889356e-03,-1.203548486157527894e-02,1.442184742359333915e+00,-1.895348156000874890e-02,9.650305662629177217e-02,-1.150032639084235947e-01,1.154305025110953856e-02,1.814736986289537279e+00
4.254000000000000448e+00,3.403200000000000447e+00,8.321295625315902611e-03,-1.198315811525628438e-02,1.440059175256301005e+00,-1.886868076828254401e-02,9.627348062990796762e-02,-1.145729208335354021e-01,1.151645325435382734e-02,1.814801405392779454e+00
4.256000000000000227e+00,3.404800000000000271e+00,8.297381449431914802e-03,-1.193104980893497022e-02,1.437929530135297895e+00,-1.878424481918721661e-02,9.604476394213593005e-02,-1.141439551598272956e-01,1.148989103792325862e-02,1.814865620479139352e+00
4.258000000000000007e+00,3.406400000000000095e+00,8.273571272293278600e-03,-1.187915927144314078e-02,1.435795846858095803e+00,-1.870017252510579320e-02,9.581690380961141451e-02,-1.137163654472856666e-01,1.146336364196380922e-02,1.814929632236968127e+00
4.259999999999999787e+00,3.407999999999999918e+00,8.249864659032605380e-03,-1.182748583269595255e-02,1.433658165500482973e+00,-1.861646270066343034e-02,9.558989748186245972e-02,-1.132901502443338371e-01,1.143687110623403842e-02,1.814993441352631631e+00
4.262000000000000455e+00,3.409600000000000630e+00,8.226261176121586402e-03,-1.177602882369381543e-02,1.431516526350532059e+00,-1.853311416272932638e-02,9.536374221133056550e-02,-1.128653080878767312e-01,1.141041347010595883e-02,1.815057048510513527e+00
