t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
5.999999999999999778e-01,2.930509424189247092e-01,7.459841374927986823e-01,9.585811920080528070e-01,7.472734147556288342e-02,3.806590679322326420e-01,1.127932482687861393e+00
6.071428571428570953e-01,2.999357054540592871e-01,7.408658527840670249e-01,9.691479218193241874e-01,7.640624392881165128e-02,3.855629017049776452e-01,1.149625340993094103e+00
6.142857142857142128e-01,3.068958477163701293e-01,7.357272245874878491e-01,9.796873457753543235e-01,7.810011095409220838e-02,3.904278069371314719e-01,1.171428916478053583e+00
6.214285714285714413e-01,3.139311735293315309e-01,7.305693089361936510e-01,9.901992868270237391e-01,7.980879417512426466e-02,3.952530804616964377e-01,1.193341022212939029e+00
6.285714285714285587e-01,3.210414859660821740e-01,7.253931567300043737e-01,1.000683571928874027e+00,8.153214474734370165e-02,4.000380520599470247e-01,1.215359499533384069e+00
6.357142857142856762e-01,3.282265868780069318e-01,7.201998133885377795e-01,1.011140032034264946e+00,8.327001338930001273e-02,4.047820839851952179e-01,1.237482217878195456e+00
6.428571428571427937e-01,3.354862769232785369e-01,7.149903185114152571e-01,1.021568502089440056e+00,8.502225041383090764e-02,4.094845704838762090e-01,1.259707074622185452e+00
6.500000000000000222e-01,3.428203555953543424e-01,7.097657055456858544e-01,1.031968821026519212e+00,8.678870575900493600e-02,4.141449373139717283e-01,1.282031994904021088e+00
6.571428571428571397e-01,3.502286212514182928e-01,7.045270014605835573e-01,1.042340831755432795e+00,8.856922901882148536e-02,4.187626412608063675e-01,1.304454931449021249e+00
6.642857142857142572e-01,3.577108711407618324e-01,6.992752264297233955e-01,1.052684381154817661e+00,9.036366947365992441e-02,4.233371696502720161e-01,1.326973864386871149e+00
6.714285714285713746e-01,3.652669014330968689e-01,6.940113935208352958e-01,1.062999320061890574e+00,9.217187612046769118e-02,4.278680398595587908e-01,1.349586801064235786e+00
6.785714285714286031e-01,3.728965072467917419e-01,6.887365083931293874e-01,1.073285503261319329e+00,9.399369770267942958e-02,4.323547988254820007e-01,1.372291775852276352e+00
6.857142857142857206e-01,3.805994826770243700e-01,6.834515690023746926e-01,1.083542789473105783e+00,9.582898273985784865e-02,4.367970225505197757e-01,1.395086849949098262e+00
