t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
9.939999999999999947e-01,7.952000000000000179e-01,2.310945055196696463e-01,-4.601917202566049858e-01,1.991357255430011408e+00,-8.746403835197034127e-01,1.081190932853214104e+00,-1.106430969836032840e+00,8.690063845183106928e-01,6.265170064034077946e-01
9.959999999999999964e-01,7.968000000000000638e-01,2.301791147516775438e-01,-4.551985015521426980e-01,1.977583857002930934e+00,-8.650592323496920644e-01,1.078985354597837398e+00,-1.099122397977214671e+00,8.697215246334853989e-01,6.275415664428022344e-01
9.979999999999999982e-01,7.983999999999999986e-01,2.292737180759492066e-01,-4.501976460234273780e-01,1.963581564435112892e+00,-8.554655669737166734e-01,1.076794553155629774e+00,-1.091654314203455600e+00,8.704236335156282367e-01,6.285599828635458630e-01
1.000000000000000000e+00,8.000000000000000444e-01,2.283783305889725557e-01,-4.451893308456810749e-01,1.949350140609082072e+00,-8.458597286067940368e-01,1.074618846474498346e+00,-1.084027798783287588e+00,8.711126981005991032e-01,6.295722440425793875e-01
1.002000000000000002e+00,8.016000000000000902e-01,2.274929670327406894e-01,-4.401737333375478900e-01,1.934889412533787434e+00,-8.362420585946734874e-01,1.072458550313798664e+00,-1.076243960010279110e+00,8.717887057730793199e-01,6.305783385905840976e-01
1.004000000000000004e+00,8.032000000000000250e-01,2.266176417944719135e-01,-4.351510309547800270e-01,1.920199272700202631e+00,-8.266128984017001580e-01,1.070313978188238035e+00,-1.068303934250233622e+00,8.724516443666546772e-01,6.315782553521479548e-01
1.006000000000000005e+00,8.048000000000000709e-01,2.257523689063416217e-01,-4.301214012839227330e-01,1.905279680419956767e+00,-8.169725895986827968e-01,1.068185441311690909e+00,-1.060208885979289084e+00,8.731015021638840468e-01,6.325719834059219115e-01
1.008000000000000007e+00,8.064000000000000057e-01,2.248971620452267783e-01,-4.250850220360001264e-01,1.890130663145120460e+00,-8.073214738507714650e-01,1.066073248540946317e+00,-1.051960007812654530e+00,8.737382678963462324e-01,6.335595120647753431e-01
1.010000000000000009e+00,8.080000000000000515e-01,2.240520345324638618e-01,-4.200420710401980839e-01,1.874752317767221177e+00,-7.976598929053361209e-01,1.063977706319411798e+00,-1.043558520523721223e+00,8.743619307446822697e-01,6.345408308759271643e-01
1.012000000000000011e+00,8.096000000000000973e-01,2.232169993336179381e-01,-4.149927262375484593e-01,1.859144811893579829e+00,-7.879881885798570851e-01,1.061899118620782678e+00,-1.035005673053314812e+00,8.749724803386080829e-01,6.355159296210899367e-01
1.014000000000000012e+00,8.112000000000000322e-01,2.223920690582665283e-01,-4.099371656746130244e-01,1.843308385098975100e+00,-7.783067027498202783e-01,1.059837786892711131e+00,-1.026302742508815813e+00,8.755699067569244765e-01,6.364847983165831113e-01
1.016000000000000014e+00,8.128000000000000780e-01,2.215772559597934677e-01,-4.048755674971640794e-01,1.827243350150663526e+00,-7.686157773366163459e-01,1.057794010000477236e+00,-1.017451034152918599e+00,8.761542005275005929e-01,6.374474272134581510e-01
1.018000000000000016e+00,8.144000000000000128e-01,2.207725719351981419e-01,-3.998081099438708930e-01,1.810950094204744953e+00,-7.589157542954557689e-01,1.055768084170703336e+00,-1.008451881381778881e+00,8.767253526272503761e-01,6.384038067975975617e-01
1.020000000000000018e+00,8.160000000000000586e-01,2.199780285249148815e-01,-3.947349713399820326e-01,1.794429079971839203e+00,-7.492069756032858630e-01,1.053760302935114357e+00,-9.993066456923104246e-01,8.772833544820840546e-01,6.393539277898229178e-01
1.022000000000000020e+00,8.176000000000001044e-01,2.191936369126468720e-01,-3.896563300910100280e-01,1.777680846850020702e+00,-7.394897832467187682e-01,1.051770957074380730e+00,-9.900167166383896378e-01,8.778281979668556279e-01,6.402977811459746871e-01
1.024000000000000021e+00,8.192000000000000393e-01,2.184194079252117227e-01,-3.845723646764167558e-01,1.760706012022965172e+00,-7.297645192099684319e-01,1.049800334562056792e+00,-9.805835117757448760e-01,8.783598754052832636e-01,6.412353580570027134e-01
1.026000000000000023e+00,8.208000000000000851e-01,2.176553520323996072e-01,-3.794832536433007664e-01,1.743505271521243793e+00,-7.200315254627989159e-01,1.047848720508641085e+00,-9.710084765953042041e-01,8.788783795698599244e-01,6.421666499490371605e-01
1.028000000000000025e+00,8.224000000000000199e-01,2.169014793468446445e-01,-3.743891756000842230e-01,1.726079401244667633e+00,-7.102911439484798084e-01,1.045916397105783879e+00,-9.612930844447675760e-01,8.793837036817490072e-01,6.430916484834513502e-01
1.030000000000000027e+00,8.240000000000000657e-01,2.161577996239085753e-01,-3.692903092102025053e-01,1.708429257943632429e+00,-7.005437165717541825e-01,1.044003643570661222e+00,-9.514388364382041496e-01,8.798758414106612191e-01,6.440103455569211599e-01
1.032000000000000028e+00,8.256000000000001116e-01,2.154243222615769282e-01,-3.641868331857962549e-01,1.690555780157385612e+00,-6.907895851868183223e-01,1.042110736090543721e+00,-9.414472613534613510e-01,8.803547868747177985e-01,6.449227333014714292e-01
1.034000000000000030e+00,8.272000000000000464e-01,2.147010563003674821e-01,-3.590789262814041982e-01,1.672459989107140776e+00,-6.810290915853112192e-01,1.040237947767579385e+00,-9.313199155171814070e-01,8.808205346402954161e-01,6.458288040845198141e-01
1.036000000000000032e+00,8.288000000000000922e-01,2.139880104232528280e-01,-3.539667672876583571e-01,1.654142989541973252e+00,-6.712625774843153925e-01,1.038385548563825811e+00,-9.210583826772262839e-01,8.812730797218614187e-01,6.467285505089016562e-01
1.038000000000000034e+00,8.304000000000000270e-01,2.132851929555933390e-01,-3.488505350249821446e-01,1.635605970535488396e+00,-6.614903845143711436e-01,1.036553805246541948e+00,-9.106642738623418332e-01,8.817124175817860898e-01,6.476219654128998471e-01
1.040000000000000036e+00,8.320000000000000728e-01,2.125926118650849350e-01,-3.437304083372925700e-01,1.616850206231202458e+00,-6.517128542075066866e-01,1.034742981333780287e+00,-9.001392272288666341e-01,8.821385441301464736e-01,6.485090418702522674e-01
1.042000000000000037e+00,8.336000000000001187e-01,2.119102747617171989e-01,-3.386065660857011106e-01,1.597877056534647622e+00,-6.419303279852721644e-01,1.032953337040293018e+00,-8.894849078943218856e-01,8.825514557245066616e-01,6.493897731901669967e-01
