a,profile_index,ell_critical,tau_tangent,tau_match,x_match,delta_match,max_real_q_after_local_layer,time_of_remote_max,entry_error,entry_error_over_a_2_3,u_min,slow_branch_margin_min,forcing_max,tube_discriminant,certified_radius,tube_certified
4.641588833612781789e-05,2.000000000000000000e+00,1.970330775045206595e+00,2.545790085516362211e+01,7.755468655582640167e+02,5.759631473789810635e-02,3.593813663804628494e-02,-7.484726890898505403e-01,5.272890845180781128e+01,2.672930470893036380e-04,2.069552989944239973e-01,2.167471329765302546e-01,4.784063192827425759e-01,1.046998631348831010e-04,4.656052020100615724e-02,4.841321109752411145e-04,1.000000000000000000e+00
4.641588833612781789e-05,3.000000000000000000e+00,1.970338506988878580e+00,2.546124595233798971e+01,7.974160700716644214e+02,5.922044042540840908e-02,3.593813663804628494e-02,-7.483054477849225838e-01,5.271927923017976525e+01,2.531963096407493130e-04,1.960407071437173798e-01,2.167583035430417637e-01,4.784074939273500471e-01,9.917233601898117247e-05,4.658747281078150226e-02,4.584947929082289209e-04,1.000000000000000000e+00
2.154434690031886725e-05,0.000000000000000000e+00,1.979714275014134994e+00,3.083008815633503019e+01,1.292404014630261145e+03,4.455040068249459945e-02,2.782559402207126359e-02,-7.499305713022045294e-01,6.350760154521621104e+01,1.649548368417852733e-04,2.130473642655923150e-01,1.957011922687175165e-01,4.798236202583201493e-01,5.650768951128898646e-05,3.807292589735238736e-02,2.891720245288692537e-04,1.000000000000000000e+00
2.154434690031886725e-05,1.000000000000000000e+00,1.979714275014134994e+00,3.083008815633483479e+01,1.292403675453454525e+03,4.455038899074614811e-02,2.782559402207126359e-02,-7.499305711683136311e-01,6.350759961819790078e+01,1.649550522914681886e-04,2.130476425295581011e-01,1.957011922687175165e-01,3.763900417485879224e-01,5.650776364076062443e-05,3.807292560083450073e-02,2.891724044406657201e-04,1.000000000000000000e+00
2.154434690031886725e-05,2.000000000000000000e+00,1.979714275660812151e+00,3.083008865233794538e+01,1.292831570995333777e+03,4.456513895873230602e-02,2.782559402207126359e-02,-7.499308601940806174e-01,6.351003098271605296e+01,1.647915700616167959e-04,2.128364971103576531e-01,1.957011933667435200e-01,4.798236203554265833e-01,5.645165944001066636e-05,3.807315044740749999e-02,2.888848705305813169e-04,1.000000000000000000e+00
2.154434690031886725e-05,3.000000000000000000e+00,1.979717262942035427e+00,3.083237795140525606e+01,1.321183055056391140e+03,4.554244169113275120e-02,2.782559402207126359e-02,-7.498895460614940500e-01,6.355128329544675836e+01,1.579293088708700547e-04,2.039735459682040786e-01,1.957062657309994180e-01,4.798240689307270435e-01,5.409948654430493827e-05,3.808454450019533449e-02,2.768236247376182346e-04,1.000000000000000000e+00
1.000000000000000082e-05,0.000000000000000000e+00,1.986139095620562456e+00,3.735000097686092602e+01,2.155288632264415810e+03,3.448461811623065865e-02,2.154434690031884272e-02,-7.507566747058632695e-01,7.653156506773717638e+01,1.012009936567598398e-04,2.180309313998199106e-01,1.761369572008554540e-01,4.807845145978874024e-01,3.034828579102410767e-05,3.090283454881188885e-02,1.724682404405514236e-04,1.000000000000000000e+00
1.000000000000000082e-05,1.000000000000000000e+00,1.986139095620560235e+00,3.735000097685701093e+01,2.155288429148619798e+03,3.448461486637791756e-02,2.154434690031884272e-02,-7.507566774217836469e-01,7.653156422982831941e+01,1.012010411910771831e-04,2.180310338094021694e-01,1.761369572008509854e-01,3.773940625081225742e-01,3.034830008897230905e-05,3.090283449161852422e-02,1.724683217750044850e-04,1.000000000000000000e+00
1.000000000000000082e-05,2.000000000000000000e+00,1.986139095761047857e+00,3.735000116777986534e+01,2.155715831879808775e+03,3.449145331007694160e-02,2.154434690031884272e-02,-7.507510460975947986e-01,7.653332748031701271e+01,1.011409210155721959e-04,2.179015088177234105e-01,1.761369574800242532e-01,4.807845146188137742e-01,3.033024981628892127e-05,3.090290679105471561e-02,1.723656418569918802e-04,1.000000000000000000e+00
1.000000000000000082e-05,3.000000000000000000e+00,1.986140248148107190e+00,3.735156634145034360e+01,2.192443421836375364e+03,3.507909474938200600e-02,2.154434690031884272e-02,-7.507399834473806877e-01,7.652428477833336729e+01,9.783019144737881406e-05,2.107687581866933280e-01,1.761392474939022790e-01,4.807846862753688555e-01,2.933709437298028330e-05,3.090768613022623970e-02,1.667140536050354394e-04,1.000000000000000000e+00
